equation_id,report_section,equation_name,classification,physical_or_numerical_purpose,theory_runtime_label,dependent_variable,differential_states,algebraic_variables,inputs,parameters,units,per_unit_base,sign_convention,reference_frame,current_direction,assumptions,source_author,source_title,edition_year,chapter_section,printed_page,PDF_page_index,source_equation_number,DOI_ISBN_URL,source_notation,project_notation,transformation_derivation,production_function,production_file,test_or_oracle,readiness_status,limitation
"PF-11","4","Mismatch vector","PROJECT_DERIVED","Difference between scheduled and calculated injections drives Newton iteration.","RUNTIME_EQUATION","mismatch","none","P_spec, Q_spec, P_calc, Q_calc","none","see source_notation/project_notation","pu","pu","injection positive","phase reference","network into bus","Newton method requires residual","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.5","--","--","Eq 2.22","--","mismatch = [P_spec-P_calc; Q_spec-Q_calc]","identical (pf_calculate_mismatch returns mismatch)","source: mismatch = [P_spec-P_calc; Q_spec-Q_calc] -> project: identical (pf_calculate_mismatch returns mismatch)","pf_calculate_mismatch","+pfsolver/powerflow_newton_raphson.m:148","test_matpower6_case14","VERIFIED","REF bus excluded; PV Q excluded (Q is output)."
"PF-12","4","Newton linearization","SOURCE_VERBATIM","Linearize mismatch around current state to get Newton correction.","RUNTIME_EQUATION","delta_x","none","mismatch, J","none","see source_notation/project_notation","pu","pu","injection positive","phase reference","network into bus","small-signal linearization; first-order Taylor","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.5","--","--","Eq 2.23","--","J * [dtheta; d|V|] = [dP; dQ]","identical (delta_x = J \ mismatch)","source: J * [dtheta; d|V|] = [dP; dQ] -> project: identical (delta_x = J \ mismatch)","solve_model","+pfsolver/powerflow_newton_raphson.m:212","test_matpower6_case14","VERIFIED","Backslash, no explicit inverse."
"PF-13","4","Four Jacobian blocks","SOURCE_TRANSFORMED","Partial derivatives of P,Q w.r.t. theta, |V| forming H,N,M,L blocks.","RUNTIME_EQUATION","H,N,M,L","none","V, theta, G, B","none","see source_notation/project_notation","pu","pu","injection positive","phase reference","network into bus","analytic derivatives of PF-08/09","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.5","--","--","Eq 2.24-2.27","--","H=dP/dtheta, N=dP/d|V|, M=dQ/dtheta, L=dQ/d|V|","identical (pf_build_jacobian assembles J from V,delta,P_calc,Q_calc)","source: H=dP/dtheta, N=dP/d|V|, M=dQ/dtheta, L=dQ/d|V| -> project: identical (pf_build_jacobian assembles J from V,delta,P_calc,Q_calc)","pf_build_jacobian","+pfsolver/powerflow_newton_raphson.m:180","test_matpower6_case14","VERIFIED","Diagonal and off-diagonal forms per Bergen Eq 2.24-2.27."
"PF-14","4","State update and stopping rule","PROJECT_DERIVED","Update voltage state and stop when mismatch below tolerance.","RUNTIME_EQUATION","x","none","delta_x, mismatch, tolerance","none","see source_notation/project_notation","pu","pu","injection positive","phase reference","network into bus","Newton iteration converges quadratically near solution","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.5","--","--","Eq 2.28","--","x = x + delta_x; stop when max|mismatch| < tolerance","identical (x=x+delta_x; break if max_mismatch<tolerance)","source: x = x + delta_x; stop when max|mismatch| < tolerance -> project: identical (x=x+delta_x; break if max_mismatch<tolerance)","solve_model","+pfsolver/powerflow_newton_raphson.m:170,228","test_matpower6_case14","VERIFIED","Default tolerance 1e-6; max_iter 20."
"PF-15","4","PV reactive-power recovery and PV-to-PQ switching","PROJECT_DERIVED","Recover Q at PV buses; switch to PQ if Q violates limits.","RUNTIME_EQUATION","Q_gen","none","V, Y, Qmin, Qmax","none","see source_notation/project_notation","pu","pu","generation positive","phase reference","network into bus","PV bus Q is output; limits enforced iteratively","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.5","--","--","Eq 2.29","--","Q_gen computed from solved V; if Q>Qmax set Q=Qmax and switch PV->PQ","identical (find_q_limit_violations + bus_data type switch)","source: Q_gen computed from solved V; if Q>Qmax set Q=Qmax and switch PV->PQ -> project: identical (find_q_limit_violations + bus_data type switch)","find_q_limit_violations","+pfsolver/powerflow_newton_raphson.m:290-308","test_matpower6_case14","VERIFIED","Iterative outer loop; max_q_limit_switches=20."
"PF-16","4","Slack-bus power recovery","PROJECT_DERIVED","Recover P,Q at slack bus from solved voltages.","RUNTIME_EQUATION","P_slack, Q_slack","none","V, Y","none","see source_notation/project_notation","pu","pu","generation positive","phase reference","network into bus","REF bus P,Q are outputs","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.5","--","--","Eq 2.30","--","P_slack = sum_k |V_s||V_k|(G_sk cos+...); same for Q","identical (pf_build_results computes slack P,Q from V)","source: P_slack = sum_k |V_s||V_k|(G_sk cos+...); same for Q -> project: identical (pf_build_results computes slack P,Q from V)","pf_build_results","+pfsolver/powerflow_newton_raphson.m","test_matpower6_case14","VERIFIED","Slack bus angle=0, |V| specified."
"PF-17","4","Branch sending/receiving currents and powers","SOURCE_TRANSFORMED","Compute branch flows from bus voltages and branch admittance.","RUNTIME_EQUATION","S_ij","none","V_i, V_j, y_ij","none","see source_notation/project_notation","pu","pu","sending end positive","phase reference","network into bus","pi-model branch","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.6","--","--","Eq 2.31","--","I_ij = y_ij*(V_i - V_j) + j*b/2*V_i; S_ij = V_i*conj(I_ij)","identical (pf_build_results computes branch flows)","source: I_ij = y_ij*(V_i - V_j) + j*b/2*V_i; S_ij = V_i*conj(I_ij) -> project: identical (pf_build_results computes branch flows)","pf_build_results","+pfsolver/powerflow_newton_raphson.m","test_matpower6_case14","VERIFIED","Includes half-line charging at each end."
"PF-18","4","Active/reactive losses","PROJECT_DERIVED","Total network losses = sum of branch losses.","RUNTIME_EQUATION","P_loss, Q_loss","none","S_ij","none","see source_notation/project_notation","pu","pu","loss positive","phase reference","network into bus","loss = sum over branches of (S_ij + S_ji)","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.6","--","--","Eq 2.32","--","P_loss = sum Re(S_ij+S_ji); Q_loss = sum Im(S_ij+S_ji)","identical (pf_build_results computes P_loss_total)","source: P_loss = sum Re(S_ij+S_ji); Q_loss = sum Im(S_ij+S_ji) -> project: identical (pf_build_results computes P_loss_total)","pf_build_results","+pfsolver/powerflow_newton_raphson.m","test_matpower6_case14","VERIFIED","Reported as P_loss_total in pu (x100 for MW on S_base=100)."
"PF-19","4","Power-balance residual","PROJECT_DERIVED","Verify total generation = total load + total loss at convergence.","VALIDATION_ORACLE","balance","none","P_gen, P_load, P_loss","none","see source_notation/project_notation","pu","pu","injection positive","phase reference","network into bus","Kirchhoff current law at network level","Bergen & Vittal","Power Systems Analysis","2nd ed.","2.6","--","--","Eq 2.33","--","P_gen_total = P_load_total + P_loss_total","identical (pf_build_results reports all three)","source: P_gen_total = P_load_total + P_loss_total -> project: identical (pf_build_results reports all three)","pf_build_results","+pfsolver/powerflow_newton_raphson.m","test_matpower6_case14","VERIFIED","Used as convergence sanity check, not acceptance gate."
"SG-C-01","5.1","Rotor electrical angle definition","PROJECT_DERIVED","Define rotor angle of machine i relative to synchronous reference.","RUNTIME_EQUATION","delta_i","delta","none","none","see source_notation/project_notation","rad","machine base","machine into network","rotor dq frame","machine into network","classical machine; rotor angle = angle of internal EMF","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.2","--","--","Eq 7.5","--","delta_i = angle(E_i)","identical (delta0(k)=angle(E0(k)) in classical_dae.m:61)","source: delta_i = angle(E_i) -> project: identical (delta0(k)=angle(E0(k)) in classical_dae.m:61)","classical_dae","+stability/classical_dae.m:61","test_ts_characterization_fixed","VERIFIED","Electrical radians; relative to slack bus angle."
"SG-C-02","5.1","Speed-base relationship","PROJECT_DERIVED","Relate per-unit speed to angular frequency via base.","CASE_INPUT","omega_b","omega","none","f","see source_notation/project_notation","rad/s","system base","machine into network","rotor dq frame","machine into network","synchronous speed = 2*pi*f","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.2","--","--","Eq 7.6","--","omega_b = 2*pi*f","identical (ws=2*pi*freq in classical_dae.m:39)","source: omega_b = 2*pi*f -> project: identical (ws=2*pi*freq in classical_dae.m:39)","classical_dae","+stability/classical_dae.m:39","test_ts_characterization_fixed","VERIFIED","f from case base_values.frequency_Hz."
"SG-C-03","5.1","Mechanical torque/power balance","SOURCE_TRANSFORMED","Newton second law for rotation: accelerating power = inertia * acceleration.","RUNTIME_EQUATION","Pm, Pe","omega","none","H, D","see source_notation/project_notation","pu","machine base","machine into network","rotor dq frame","machine into network","classical machine; mechanical input minus electrical output","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.2","--","--","Eq 7.7","--","2H*domega/dt = Pm - Pe - D*(omega-1)","identical (swing_rhs in classical_dae.m:116)","source: 2H*domega/dt = Pm - Pe - D*(omega-1) -> project: identical (swing_rhs in classical_dae.m:116)","classical_dae / swing_rhs","+stability/classical_dae.m:116","test_ts_characterization_fixed","VERIFIED","2H in denominator (NOT H); D is damping coefficient."
"SG-C-04","5.1","Inertia constant definition","SOURCE_VERBATIM","H = stored kinetic energy at rated speed / rated MVA base.","CASE_INPUT","H","none","none","S_machine","see source_notation/project_notation","s","machine base","machine into network","rotor dq frame","machine into network","rated operation","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.2","--","--","Eq 7.4","--","H = (1/2)J*omega_m^2 / S_base","identical (H from case machines.units)","source: H = (1/2)J*omega_m^2 / S_base -> project: identical (H from case machines.units)","expand_machines_classical","+stability/classical_dae.m:46","test_ts_characterization_fixed","VERIFIED","H scaled to system base when machine base differs (ratio in normalize_case)."
"SG-C-05","5.1","Swing equation (delta)","PROJECT_DERIVED","Rotor angle derivative from per-unit speed deviation.","RUNTIME_EQUATION","delta_i","delta, omega","none","omega_b","see source_notation/project_notation","rad/s","machine base","machine into network","rotor dq frame","machine into network","classical machine; omega in pu absolute (1 at synchronous)","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.2","--","--","Eq 7.8","--","d(delta)/dt = omega_b*(omega-1)","identical (dx=[ws*(w-1); ...] in classical_dae.m:116)","source: d(delta)/dt = omega_b*(omega-1) -> project: identical (dx=[ws*(w-1); ...] in classical_dae.m:116)","classical_dae / swing_rhs","+stability/classical_dae.m:116","test_ts_characterization_fixed","VERIFIED","omega_b = 2*pi*f; omega=1 at synchronous speed."
"SG-C-06","5.1","Damping term and units","PROJECT_DERIVED","Damping power proportional to speed deviation.","RUNTIME_EQUATION","D","omega","none","D","see source_notation/project_notation","pu","machine base","machine into network","rotor dq frame","machine into network","linear damping; D in pu on machine base","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.2","--","--","Eq 7.9","--","P_damp = D*(omega-1)","identical (D.*(w-1) in classical_dae.m:116)","source: P_damp = D*(omega-1) -> project: identical (D.*(w-1) in classical_dae.m:116)","classical_dae / swing_rhs","+stability/classical_dae.m:116","test_ts_characterization_fixed","VERIFIED","D scaled to system base with H."
"SG-C-07","5.1","Internal voltage behind transient reactance","SOURCE_TRANSFORMED","Classical machine internal EMF = terminal voltage + jXdp * current.","RUNTIME_EQUATION","E_i","none","V, I, Xdp","Xdp","see source_notation/project_notation","pu","machine base","machine into network","rotor dq frame","machine into network","classical machine; constant flux; Xdp transient reactance","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.3","--","--","Eq 7.13","--","E = V + j*Xdp*I","identical (E0(k)=V0(b)+1i*Xdp(k)*Ig0 in classical_dae.m:60)","source: E = V + j*Xdp*I -> project: identical (E0(k)=V0(b)+1i*Xdp(k)*Ig0 in classical_dae.m:60)","classical_dae","+stability/classical_dae.m:60","test_ts_characterization_fixed","VERIFIED","Eqmag=|E| constant during classical TS; delta=angle(E)."
"SG-C-08","5.1","Stator/current-injection equation","PROJECT_DERIVED","Generator current from EMF and terminal voltage through Xdp.","RUNTIME_EQUATION","Ig","none","E, V, Xdp","Xdp","see source_notation/project_notation","pu","machine base","machine into network","rotor dq frame","machine into network","classical machine; linear stator","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.3","--","--","Eq 7.14","--","Ig = (E - V)/(j*Xdp)","identical (Ig(k)=(E-V(b))/(1i*Xdp(k)) in classical_dae.m:144)","source: Ig = (E - V)/(j*Xdp) -> project: identical (Ig(k)=(E-V(b))/(1i*Xdp(k)) in classical_dae.m:144)","solve_network_linear","+stability/classical_dae.m:144","test_ts_characterization_fixed","VERIFIED","Current positive from machine into network."
"SG-C-09","5.1","Electrical air-gap power","SOURCE_VERBATIM","Electrical power delivered to network = real(V * conj(Ig)).","RUNTIME_EQUATION","Pe","none","V, Ig","none","see source_notation/project_notation","pu","machine base","machine into network","rotor dq frame","machine into network","sinusoidal steady state; air-gap power","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.3","--","--","Eq 7.15","--","Pe = real(V * conj(Ig))","identical (Pe(k)=real(V(b)*conj(Ig(k))) in classical_dae.m:145)","source: Pe = real(V * conj(Ig)) -> project: identical (Pe(k)=real(V(b)*conj(Ig(k))) in classical_dae.m:145)","solve_network_linear","+stability/classical_dae.m:145","test_ts_characterization_fixed","VERIFIED","Same convention as PF-07."
"SG-C-10","5.1","Generator-to-bus injection mapping","PROJECT_DERIVED","Accumulate generator currents into bus injection vector.","RUNTIME_EQUATION","Iinj","none","E, yg","yg=1/(jXdp)","see source_notation/project_notation","pu","machine base","machine into network","rotor dq frame","machine into network","linear network; superposition","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.3","--","--","Eq 7.16","--","Iinj(b) += E*yg; Yloc(b,b) += yg","identical (Iinj(b)=Iinj(b)+E*yg; Yloc(b,b)=Yloc(b,b)+yg in classical_dae.m:136-137)","source: Iinj(b) += E*yg; Yloc(b,b) += yg -> project: identical (Iinj(b)=Iinj(b)+E*yg; Yloc(b,b)=Yloc(b,b)+yg in classical_dae.m:136-137)","solve_network_linear","+stability/classical_dae.m:131-138","test_ts_characterization_fixed","VERIFIED","Generator admittance added to Ybus diagonal; current to injection vector."
"SG-C-11","5.1","COI angle and COI speed","PROJECT_DERIVED","Inertia-weighted center-of-inertia reference removes common-mode motion.","DIAGNOSTIC_ONLY","delta_COI","delta","none","H","see source_notation/project_notation","rad","machine base","machine into network","rotor dq frame","machine into network","inertia-weighted average","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.4","--","--","Eq 7.20","--","delta_COI = sum(H_i*delta_i)/sum(H_i)","identical (coi_relative.m implements inertia-weighted COI)","source: delta_COI = sum(H_i*delta_i)/sum(H_i) -> project: identical (coi_relative.m implements inertia-weighted COI)","coi_relative","scripts/validation/coi_relative.m","test_coi_weighting","VERIFIED","Used for COI-relative angle metrics; not a state variable."
"SG-C-12","5.1","Pairwise and incremental rotor-angle metrics","PROJECT_DERIVED","COI-relative and incremental angle removes common drift for stability assessment.","DIAGNOSTIC_ONLY","tilde_delta_i","delta","none","H","see source_notation/project_notation","rad","machine base","machine into network","rotor dq frame","machine into network","COI frame; incremental from t=0","Bergen & Vittal","Power Systems Analysis","2nd ed.","7.4","--","--","Eq 7.21","--","tilde_delta_i(t) = [delta_i(t)-delta_COI(t)] - [delta_i(0)-delta_COI(0)]","identical (coi_relative.m computes incremental COI-relative)","source: tilde_delta_i(t) = [delta_i(t)-delta_COI(t)] - [delta_i(0)-delta_COI(0)] -> project: identical (coi_relative.m computes incremental COI-relative)","coi_relative","scripts/validation/coi_relative.m","test_coi_weighting","VERIFIED","Plotted angle is delta_i(t)-delta_i(0) (PSAT delta_Syn style); stability uses COI-relative."
"SG-P-01","5.2","Padiyar state inventory","CASE_DEFINED","Five states per machine: [delta, omega, Eqp, Edp, Efd] (AVR) or four (manual).","RUNTIME_MODEL_INTERFACE","x","delta, omega, Eqp, Edp, Efd","none","none","see source_notation/project_notation","mixed","machine base","machine into network","rotor dq frame","machine into network","Padiyar model 1.1; two-axis transient machine + single-time-constant AVR","Padiyar","Power System Dynamics: Stability and Control","2nd ed.","9.6.1","325-331","338-344","Table 9.1-9.4","--","states [delta, omega, Eqp, Edp, Efd]","identical (padiyar_model11_dae.m:80,102,106)","source: states [delta, omega, Eqp, Edp, Efd] -> project: identical (padiyar_model11_dae.m:80,102,106)","padiyar_model11_dae","+stability/padiyar_model11_dae.m:80","test_padiyar_two_area_reference","VERIFIED","Manual excitation drops Efd state (4 states/machine)."
"SG-P-02","5.2","Padiyar swing equations","SOURCE_TRANSFORMED","Rotor angle and speed derivatives per Padiyar model 1.1.","RUNTIME_EQUATION","delta, omega","delta, omega","none","wB, H, D, Pm, Te","see source_notation/project_notation","rad/s, pu/s","machine base","machine into network","rotor dq frame","machine into network","Padiyar model 1.1; omega in pu absolute","Padiyar","Power System Dynamics: Stability and Control","2nd ed.","9.6.1","325-331","338-344","Eq 9.x","--","d(delta)/dt=wB*(omega-1); d(omega)/dt=(Pm-Te-D*(omega-1))/(2*H)","identical (padiyar_model11_dae.m:128-129)","source: d(delta)/dt=wB*(omega-1); d(omega)/dt=(Pm-Te-D*(omega-1))/(2*H) -> project: identical (padiyar_model11_dae.m:128-129)","padiyar_model11_dae / differential_residual","+stability/padiyar_model11_dae.m:128-129","test_padiyar_two_area_reference","VERIFIED","2H in denominator; wB=2*pi*f. Verified against contract.md."
"SG-P-03","5.2","Padiyar transient EMF equations","SOURCE_TRANSFORMED","Eqp and Edp derivatives from field and q-axis dynamics.","RUNTIME_EQUATION","Eqp, Edp","Eqp, Edp","Id, Iq, Efd","Xd, Xdp, Xq, Xqp, Tpd0, Tpq0","see source_notation/project_notation","pu/s","machine base","machine into network","rotor dq frame","machine into network","two-axis transient model","Padiyar","Power System Dynamics: Stability and Control","2nd ed.","9.6.1","325-331","338-344","Eq 9.x","--","d(Eqp)/dt=(Efd-Eqp-(Xd-Xdp)*Id)/Tpd0; d(Edp)/dt=(-Edp+(Xq-Xqp)*Iq)/Tpq0","identical (padiyar_model11_dae.m:130-131)","source: d(Eqp)/dt=(Efd-Eqp-(Xd-Xdp)*Id)/Tpd0; d(Edp)/dt=(-Edp+(Xq-Xqp)*Iq)/Tpq0 -> project: identical (padiyar_model11_dae.m:130-131)","padiyar_model11_dae / differential_residual","+stability/padiyar_model11_dae.m:130-131","test_padiyar_two_area_reference","VERIFIED","Matches contract.md dynamic equations."
"SG-P-04","5.2","Padiyar AVR equation","SOURCE_TRANSFORMED","Single-time-constant AVR: Efd derivative from voltage error.","RUNTIME_EQUATION","Efd","Efd","Vref, |Vt|","KA, TA","see source_notation/project_notation","pu/s","machine base","machine into network","rotor dq frame","machine into network","first-order AVR; Vref set so operating point is equilibrium","Padiyar","Power System Dynamics: Stability and Control","2nd ed.","9.6.1","325-331","338-344","Eq 9.x","--","d(Efd)/dt=(KA*(Vref-|Vt|)-Efd)/TA","identical (padiyar_model11_dae.m:133); Vref=|Vt|+Efd/KA at init (line 110)","source: d(Efd)/dt=(KA*(Vref-|Vt|)-Efd)/TA -> project: identical (padiyar_model11_dae.m:133); Vref=|Vt|+Efd/KA at init (line 110)","padiyar_model11_dae / differential_residual","+stability/padiyar_model11_dae.m:133,110","test_padiyar_two_area_reference","VERIFIED","Manual excitation: Efd fixed at Efd0, no AVR state."
